Film,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
Star Trek Beyond,84,68,76.0,81,68,13,74.5,1.5,Adventure,Adventure,sequel,59.3,"59,253,211",158.8,"158,848,340",184.0,"184,049,672","342,898,012",343,53.67%,185,185%,32.03%,2016,,,https://www.amazon.com/Star-Trek-Beyond-John-Cho/dp/B01IG0GVUI/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219470&sr=1-1&keywords=Star+Trek+Beyond
Beginners,84,81,82.5,80,73,7,76.5,6,comedy,"comedy, romance",based on a true story,0.1,"140,000",5.8,"5,790,000",8.5,"8,520,000","5,930,006",6,143.68%,3,185%,4.38%,2011,Oscar Winner,Best Supporting Actor,http://www.amazon.com/gp/product/B0060M9T9U/?tag=titb-20
Cop Out,19,31,25,45,51,-6,48,-23,action,"action, comedy, crime",original screenplay,18.2,"18,210,000",44.9,"44,880,000",10.7,"10,710,000","55,590,000",56,19.27%,30,185%,60.70%,2010,,,http://www.amazon.com/gp/product/B003R2JX06/?tag=titb-20
The Longest Ride,30,33,31.5,73,48,25,60.5,-29,romance,romance,adaptation,13.0,"13,019,686",37.4,"37,446,117",25.5,"25,498,698","62,944,815",63,40.51%,34,185%,38.29%,2015,,,http://www.amazon.com/gp/product/B00VWQ2P8G/?tag=titb-20
Savages (2012),51,59,55.0,55,64,-9,59.5,-4.5,crime,"crime, thriller",adaptation,16.0,"16,016,910",47.4,"47,382,068",35.6,"35,584,084","82,966,152",83,42.89%,45,184%,35.59%,2012,,,http://www.amazon.com/gp/product/B00A6N7BS0/?tag=titb-20
Rush Hour 3,20,44,32.0,63,65,-2,64,-32,action,"action, comedy",sequel,49.1,"49,100,158",140.1,"140,125,968",117.9,"117,896,265","258,022,233",258,45.69%,140,184%,35.07%,2007,,,-
Life as We Know It,28,39,33.5,62,55,7,58.5,-25,comedy,"comedy, romance",original screenplay,14.5,"14,500,000",53.1,"53,130,000",43.0,"43,030,000","96,160,000",96,44.75%,52,184%,27.74%,2010,,,http://www.amazon.com/gp/product/B004IYNP6U/?tag=titb-20
The Three Stooges,52,56,54.0,49,59,-10,54,0,comedy,comedy,adaptation,17.0,"17,010,125",44.3,"44,338,224",10.5,"10,481,077","54,819,301",55,19.12%,30,183%,56.70%,2012,,,http://www.amazon.com/gp/product/B008DJBR5W/?tag=titb-20
Diary of a Wimpy Kid: The Long Haul,20,39,30,34,35,-1,34.5,-5,comedy,comedy,"adaptation, sequel",7.1,"7,126,084",20.7,"20,738,724",19.4,"19,402,248","40,140,972",40,48.34%,22,182%,32.39%,2017,,,https://www.amazon.co.uk/Diary-Wimpy-Kid-Long-Haul/dp/B0728JLB46/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980612&sr=1-1&keywords=Diary+of+a+Wimpy+Kid3A+The+Long+Haul
The Predator,32,48,40,38,44,-6,41,-1,sci-fi,"Sci-Fi, Action",sequel,24.6,"24,632,284",51.0,"51,024,708",109.5,"109,517,426","160,542,134",161,68.22%,88,182%,27.99%,2018,,,https://www.amazon.com/Predator-Boyd-Holbrook/dp/B07H7WXH79/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546973805&sr=1-1&keywords=The+Predator
Teenage Mutant Ninja Turtles: Out of the Shadows,38,40,39.0,49,57,-8,53,-14.0,Adventure,Adventure,sequel,35.3,"35,316,382",82.1,"82,051,601",163.6,"163,572,247","245,623,848",246,66.59%,135,182%,26.16%,2016,,,https://www.amazon.com/Teenage-Mutant-Ninja-Turtles-Shadows/dp/B01G7UJIVI/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219275&sr=1-1&keywords=Teenage+Mutant+Ninja+Turtles3A+Out+of+the+Shadows
Sherlock Holmes 2,60,48,54.0,79,74,5,76.5,-22.5,action,"action, adventure, crime",sequel,39.6,"39,630,000",186.9,"186,850,000",358.6,"358,600,000","226,480,187",226,158.34%,125,181%,31.70%,2011,,,
Lions for Lambs,27,47,37.0,47,51,-4,49,-12,drama,"war, drama",original screenplay,6.7,"6,702,434",15.0,"15,000,115",48.2,"48,209,103","63,209,218",63,76.27%,35,181%,19.15%,2007,,,http://www.amazon.co.uk/Lions-Lambs-Robert-Redford/dp/B00FYO2CCQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386208&sr=1-1&keywords=Lions+for+Lambs
The Boxtrolls,75,61,68.0,65,70,-5,67.5,0.5,adventure,"adventure, fantasy, comedy, animation, family",adaptation,17.3,"17,275,239",50.8,"50,837,305",57.4,"57,418,465","108,255,770",108,53.04%,60,180%,28.79%,2014,,,http://www.amazon.com/gp/product/B00QHMDWUA/?tag=titb-20
30 Minutes or Less,43,49,46,48,56,-8,52,-6,action,"action, comedy, crime",original screenplay,13.3,"13,330,000",37.1,"37,050,000",3.5,"3,490,000","50,380,037",50,6.93%,28,180%,47.61%,2011,,,http://www.amazon.com/gp/product/B0062KJ1Q6/?tag=titb-20
Just Wright,45,51,48,58,54,4,56,-8,comedy,"comedy, romance, sport",original screenplay,8.3,"8,300,000",21.5,"21,540,000",0.0,"30,000","21,570,000",22,0.14%,12,180%,69.17%,2010,,,http://www.amazon.com/gp/product/B009EEMNV2/?tag=titb-20
The Five-Year Engagement,63,62,62.5,52,63,-11,57.5,5,comedy,"comedy, romance",original screenplay,10.6,"10,610,060",28.8,"28,835,528",25.1,"25,074,223","53,909,751",54,46.51%,30,180%,35.37%,2012,,,http://www.amazon.com/gp/product/B0095T3H2U/?tag=titb-20
Hot Tub Time Machine,64,63,63.5,57,64,-7,60.5,3,adventure,"adventure, comedy, sci-fi",original screenplay,14.0,"14,000,000",50.3,"50,290,000",14.3,"14,280,000","64,570,000",65,22.12%,36,179%,38.89%,2010,,,http://www.amazon.com/gp/product/B003OEKOFK/?tag=titb-20
ParaNorman,87,72,79.5,72,71,1,71.5,8,animation,"animation, adventure, comedy",original screenplay,14.1,"14,087,050",56.0,"56,003,051",51.1,"51,136,348","107,139,399",107,47.73%,60,179%,23.48%,2012,,,http://www.amazon.com/gp/product/B009SQOGZ2/?tag=titb-20
The Magnificent Seven,63,54,58.5,77,63,14,70,-11.5,action,western,remake / reboot,34.7,"34,703,397",92.6,"92,630,454",67.8,"67,755,643","160,386,097",160,42.25%,90,178%,38.56%,2016,,,https://www.amazon.com/Magnificent-Seven-Haley-Bennett/dp/B01LR7T2BW/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219314&sr=1-1&keywords=The+Magnificent+Seven
The Lincoln Lawyer,84,63,73.5,82,74,8,78,-4.5,crime,"crime, thriller",adaptation,13.2,"13,210,000",58.0,"58,010,000",17.0,"17,000,000","71,220,058",71,23.87%,40,178%,33.03%,2011,,,http://www.amazon.com/gp/product/B008Y73940/?tag=titb-20
The A-Team,47,47,47.0,71,72,-1,71.5,-24.5,action,"action, adventure, thriller",adaptation,25.7,"25,700,000",77.2,"77,220,000",100.0,"100,020,000","177,240,000",177,56.43%,100,177%,25.70%,2010,,,http://www.amazon.com/gp/product/B004G8ZZHU/
Widows,90,84,87,63,71,-8,67,20,Crime,"Crime, Thriller",adaptation,12.4,"12,361,307",42.0,"41,990,165",32.2,"32,231,390","74,221,555",742,43.43%,42,177%,29.43%,2018,,,https://www.amazon.com/Widows-Steve-McQueen/dp/B07KM4VT1Z/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970558&sr=1-1&keywords=Widows
Unstoppable,86,69,77.5,73,68,5,70.5,7,action,"action, thriller",based on a true story,22.7,"22,690,000",81.6,"81,560,000",86.2,"86,240,000","167,800,000",168,51.39%,95,177%,23.88%,2010,,,http://www.amazon.com/gp/product/B004NS710C/?tag=titb-20
Kit Kittredge: An American Girl,78,63,70.5,26,86,-60,56,14.5,family,family,adaptation,3.3,"3,300,000",17.7,"17,660,000",0.0,0,"17,660,000",18,0.00%,10,177%,33.00%,2008,,,http://www.amazon.com/gp/product/B0091X2LQS/?tag=titb-20
Nobody's Fool,24,39,32,38,31,7,34.5,-3,Comedy,Comedy,original screenplay,13.7,"13,743,111",31.7,"31,713,110",1.8,"1,819,483","33,532,593",335,5.43%,19,176%,72.33%,2018,,,https://www.amazon.com/Nobodys-Fool-Tiffany-Haddish/dp/B07JZ766RK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975455&sr=1-1&keywords=Nobody27s+Fool
Red 2,43,47,45.0,63,67,-4,65,-20,Action,"Action, Thriller, Comedy, Crime",sequel,18.0,"18,048,422",53.3,"53,262,560",94.8,"94,813,005","148,075,565",148,64.03%,84,176%,21.49%,2013,,,http://www.amazon.com/gp/product/B00FXMGI0G/?tag=titb-20
Alice Through the Looking Glass,30,34,32.0,51,60,-9,55.5,-23.5,Adventure,Adventure,adaptation,26.9,"26,858,726",77.0,"77,042,381",222.3,"222,335,940","299,378,321",299,74.27%,170,176%,15.80%,2016,,,https://www.amazon.com/Alice-Through-Looking-Glass-Theatrical/dp/B01G2LIR6Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219246&sr=1-1&keywords=Alice+Through+the+Looking+Glass
The Spiderwick Chronicles,79,62,70.5,67,66,1,66.5,4,adventure,"adventure, family, fantasy",adaptation,19.0,"19,000,000",71.2,"71,200,000",91.6,"91,640,000","162,840,000",163,56.28%,93,176%,20.54%,2008,,,http://www.amazon.com/gp/product/B001AF7QVU/?tag=titb-20
Sparkle,57,54,55.5,65,63,2,64,-8.5,romance,music  ,remake / reboot,11.6,"11,643,342",24.4,"24,397,469",0.2,"240,000","24,637,469",25,0.97%,14,176%,83.17%,2012,,,http://www.amazon.com/gp/product/B00AFS3E00/?tag=titb-20
In the Land of Women,43,47,45,52,53,-1,52.5,-7.5,drama,drama,original screenplay,4.7,"4,712,341",11.1,"11,052,958",6.5,"6,509,113","17,562,071",18,37.06%,10,176%,47.12%,2007,,,http://www.amazon.co.uk/Land-Women-Olympia-Dukakis/dp/B00ET1G7S0/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386125&sr=1-1&keywords=in+the+land+of+women
Zack and Miri Make a Porno,64,56,60,70,68,2,69,-9,comedy,"comedy, romance",original screenplay,10.1,"10,070,000",31.5,"31,460,000",10.7,"10,650,000","42,110,000",42,25.29%,24,175%,41.96%,2008,,,http://www.amazon.com/gp/product/B009TGWW70/?tag=titb-20
Hanna,71,65,68,67,70,-3,68.5,-0.5,action,"action, adventure, thriller",original screenplay,12.4,"12,370,000",40.3,"40,260,000",23.5,"23,520,000","52,630,040",53,44.69%,30,175%,41.23%,2011,,,http://www.amazon.com/gp/product/B005KAH7QU/?tag=titb-20
Surf's Up,78,64,71.0,70,87,-17,78.5,-7.5,animation,animation,original screenplay,17.6,"17,640,249",58.9,"58,867,694",90.2,"90,176,819","149,044,513",149,60.50%,85,175%,20.75%,2007,,,http://www.amazon.co.uk/Surfs-up-Shia-LaBeouf/dp/B00IKBUR22/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386556&sr=1-1&keywords=Surf27s+Up
Gangster Squad,31,40,35.5,57,63,-6,60,-24.5,Action,"Action, Drama, Thriller, Crime",based on a true story,17.1,"17,070,347",46.0,"46,000,903",59.2,"59,200,000","105,200,903",105,56.27%,60,175%,28.45%,2013,,,http://www.amazon.com/gp/product/B00CBKVMG8/?tag=titb-20
Space Chimps,36,36,36,37,46,-9,41.5,-5.5,animation,"animation, adventure, comedy",original screenplay,7.2,"7,180,000",30.1,"30,110,000",34.7,"34,730,000","64,840,000",65,53.56%,37,175%,19.41%,2008,,,http://www.amazon.com/gp/product/B001NEP8EA/?tag=titb-20
Mother’s Day,7,18,12.5,45,22,23,33.5,-21.0,romance,"romance, comedy",original screenplay,8.4,"8,369,184",32.5,"32,492,859",11.3,"11,300,000","43,792,859",44,25.80%,25,175%,33.48%,2016,,,https://www.amazon.com/Mothers-Day-Jennifer-Aniston/dp/B01EVZDQ14/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218873&sr=1-1&keywords=MotherE28099s+Day
The Invention of Lying ,56,58,57,47,58,-11,52.5,4.5,comedy,"comedy, fantasy, romance",original screenplay,7.0,"7,000,000",18.5,"18,450,000",14.0,"13,950,000","32,400,000",32,43.06%,19,175%,37.84%,2009,,,http://www.amazon.com/gp/product/B002ZKOVR6/?tag=titb-20
The LEGO Ninjago Movie,54,55,55,49,48,1,48.5,6,animation,animation,sequel,20.4,"20,433,071",59.3,"59,281,555",63.3,"63,300,000","122,581,555",123,51.64%,70,175%,29.19%,2017,,,https://www.amazon.co.uk/LEGO-NINJAGO-Movie-Jackie-Chan/dp/B075X17MCN/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981544&sr=1-1&keywords=The+LEGO+Ninjago+Movie
Adventureland ,89,76,82.5,56,69,-13,62.5,20,comedy,"comedy, romance",original screenplay,5.7,"5,700,000",16.0,"16,040,000",1.1,"1,120,000","17,160,000",17,6.53%,10,175%,58.16%,2009,,,http://www.amazon.com/gp/product/B008Y76VW2/?tag=titb-20
Legend of the Guardians: The Owls of Ga'Hoole,51,53,52.0,65,69,-4,67,-15,animation,"animation, adventure, fantasy",adaptation,16.1,"16,100,000",55.7,"55,680,000",84.4,"84,400,000","140,080,000",140,60.25%,80,175%,20.13%,2010,,,http://www.amazon.com/gp/product/B004CURZFC/?tag=titb-20
Disaster Movie,2,15,8.5,28,15,13,21.5,-13,comedy,comedy,original screenplay,5.8,"5,800,000",14.2,"14,190,000",20.6,"20,630,000","34,820,000",35,59.25%,20,174%,29.00%,2008,,,http://www.amazon.com/gp/product/B001OFA38E/?tag=titb-20
The Peanuts Movie,86,67,76.5,81,83,-2,82,-5.5,animation,animation,adaptation,44.2,"44,213,073",127.7,"127,742,629",44.6,"44,601,164","172,343,793",172,25.88%,99,174%,44.66%,2015,,,http://www.amazon.com/gp/product/B018RK2JV2/?tag=titb-20
Rambo: Last Blood,27,26,27,82,79,3,81,-54,Action,Action,sequel,18.9,"18,872,919",44.8,"44,819,352",42.2,"42,222,444","87,041,796",87,48.51%,50,174%,37.75%,2019,,,https://www.amazon.co.uk/Rambo-Last-Blood-Sylvester-Stallone/dp/B07XT2QW9F/ref=sr_1_1?crid=17SXH6B9Z6J7W&keywords=rambo+last+blood+2019&qid=1577973894&s=instant-video&sprefix=Rambo3A+Last+Blood2Cinstant-video2C143&sr=1-1
Life ,67,54,61,55,63,-8,59,2,sci-fi,"sci-fi, thriller",original screenplay,12.5,"12,501,936",30.2,"30,234,022",70.3,"70,307,784","100,541,806",101,69.93%,58,173%,21.56%,2017,,,https://www.amazon.co.uk/Life-Ryan-Reynolds/dp/B06XR9ZN8P/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981078&sr=1-1&keywords=Life
Geostorm,13,21,17,41,37,4,39,-22,action,action,original screenplay,13.7,"13,707,376",33.3,"33,287,280",174.4,"174,400,000","207,687,280",208,83.97%,120,173%,11.42%,2017,,,https://www.amazon.co.uk/Geostorm-Gerard-Butler/dp/B0765Q426P/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978196&sr=1-1&keywords=Geostorm
Captain America: The First Avenger,78,66,72,75,69,6,72,0,action,"action, adventure, sci-fi",adaptation,65.1,"65,060,000",176.7,"176,650,000",193.9,"193,920,000","241,710,177",242,80.23%,140,173%,46.47%,2011,,,http://www.amazon.com/gp/product/B0095P33IW/?tag=titb-20
G.I. Joe: The Rise of Cobra ,33,32,32.5,62,53,9,57.5,-25,action,"action, adventure, sci-fi",adaptation,54.7,"54,700,000",150.2,"150,200,000",152.3,"152,260,000","302,460,000",302,50.34%,175,173%,31.26%,2009,,,http://www.amazon.com/gp/product/B002Z0TPFE/?tag=titb-20
Blade Runner 2049,87,81,84,81,84,-3,82.5,2,sci-fi,sci-fi,sequel,32.8,"32,753,122",91.4,"91,366,477",166.4,"166,400,313","257,766,790",258,64.55%,150,172%,21.84%,2017,Oscar Winner,"Best Cinematography, Best Visual Effects",https://www.amazon.co.uk/Blade-Runner-2049-Harrison-Ford/dp/B0764VPQ4N/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981066&sr=1-1&keywords=Blade+Runner+2049
Leap Year,21,33,27,49,54,-5,51.5,-24.5,comedy,"comedy, romance",original screenplay,9.2,"9,200,000",25.9,"25,920,000",6.7,"6,690,000","32,610,000",33,20.52%,19,172%,48.42%,2010,,,http://www.amazon.com/gp/product/B003EUCNA8/?tag=titb-20
The Mountain Between Us,41,48,45,51,45,6,48,-4,drama,drama,adaptation,10.6,"10,551,336",30.3,"30,274,513",29.6,"29,580,467","59,854,980",60,49.42%,35,171%,30.15%,2017,,,https://www.amazon.co.uk/Mountain-Between-Us-Kate-Winslet/dp/B076DTW7V1/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980730&sr=1-1&keywords=The+Mountain+Between+Us
Body of Lies,53,57,55.0,65,72,-7,68.5,-13.5,action,"action, thriller  ",adaptation,12.9,"12,900,000",39.4,"39,390,000",75.7,"75,700,000","115,090,000",115,65.77%,68,171%,19.11%,2008,,,http://www.amazon.com/gp/product/B001RUXW48/?tag=titb-20
The Other Guys,78,64,71.0,57,67,-10,62,9,action,"action, comedy, crime",original screenplay,35.5,"35,500,000",119.2,"119,220,000",51.2,"51,210,000","170,430,000",170,30.05%,100,170%,35.50%,2010,,,http://www.amazon.com/gp/product/B004DNT78Q/?tag=titb-20
First Man,88,84,86,66,75,-9,70.5,16,Drama,Drama,based on a true story,16.0,"16,006,065",44.9,"44,936,545",55.5,"55,512,117","100,448,662","1,004",55.26%,59,170%,27.13%,2018,,,https://www.amazon.com/First-Man-Ryan-Gosling/dp/B07J25TW8Z/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974385&sr=1-1&keywords=First+Man
Battle: Los Angeles,35,37,36.0,50,58,-8,54,-18,action,"action, adventure, sci-fi",based on a true story,35.6,"35,570,000",83.6,"83,550,000",128.3,"128,270,000","119,120,084",119,107.68%,70,170%,50.81%,2011,,,http://www.amazon.com/gp/product/B0051BVQFG/?tag=titb-20
We Bought a Zoo,63,58,60.5,79,69,10,74,-13.5,family,family,adaptation,9.4,"9,360,000",75.6,"75,624,000",44.5,"44,457,000","84,984,076",85,52.31%,50,170%,18.72%,2011,,,http://www.amazon.com/gp/product/B007R0XM88/?tag=titb-20
Fences,95,78,86.5,81,72,9,76.5,10.0,Drama,Drama,adaptation,11.6,"11,600,170",40.7,"40,663,264",0.0,0,"40,663,264",41,0.00%,24,169%,48.33%,2016,,,https://www.amazon.com/Fences-Denzel-Washington/dp/B01N6DRZLO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1484685734&sr=1-1&keywords=fences
Meet the Robinsons,66,61,63.5,74,66,8,70,-6.5,animation,animation,adaptation,25.1,"25,123,781",97.8,"97,822,171",71.5,"71,510,807","169,332,978",169,42.23%,100,169%,25.12%,2007,,,http://www.amazon.co.uk/Meet-Robinsons-Angela-Bassett/dp/B00MF5HU7E/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386226&sr=1-1&keywords=Meet+the+Robinsons
Smart People,50,57,53.5,41,74,-33,57.5,-4,comedy,"comedy, romance",original screenplay,4.1,"4,090,000",9.5,"9,510,000",2.3,"2,330,000","11,840,000",12,19.68%,7,169%,58.43%,2008,,,http://www.amazon.com/gp/product/B008Y6ZWL4/?tag=titb-20
Margin Call,86,76,81,73,71,2,72,9,thriller,thriller,original screenplay,0.6,"560,000",5.4,"5,350,000",14.2,"14,150,000","5,910,005",6,239.42%,4,169%,16.00%,2011,,,http://www.amazon.com/gp/product/B008Y6SLL2/?tag=titb-20
Abraham Lincoln: Vampire Hunter,35,42,38.5,51,59,-8,55,-16.5,action,"action, fantasy, horror",adaptation,16.3,"16,306,974",37.5,"37,519,139",79.0,"78,952,441","116,471,580",116,67.79%,69,169%,23.63%,2012,,,http://www.amazon.com/gp/product/B009HV2JT8/?tag=titb-20
Jersey Boys,53,54,53.5,63,69,-6,66,-12.5,biography,"biography, drama, music, musical",adaptation,13.3,"13,319,371",47.0,"47,047,013",20.3,"20,300,000","67,347,013",67,30.14%,40,168%,33.30%,2014,,,http://www.amazon.com/gp/product/B00PGV8UV4/?tag=titb-20
Prince of Persia: The Sands of Time,36,50,43.0,71,74,-3,72.5,-29.5,action,"action, adventure, fantasy",adaptation,30.0,"30,000,000",90.8,"90,760,000",245.6,"245,610,000","336,370,000",336,73.02%,200,168%,15.00%,2010,,,http://www.amazon.com/gp/product/B0060D0OWA/?tag=titb-20
Death Race,42,43,42.5,69,68,1,68.5,-26,action,"action, sci-fi, thriller",remake / reboot,12.6,"12,620,000",36.3,"36,320,000",39.4,"39,360,000","75,680,000",76,52.01%,45,168%,28.04%,2008,,,http://www.amazon.com/gp/product/B001Q4Z5UY/?tag=titb-20
Marmaduke,9,30,19.5,46,49,-3,47.5,-28,comedy,"comedy, family",adaptation,11.6,"11,600,000",33.6,"33,640,000",50.1,"50,120,000","83,760,000",84,59.84%,50,168%,23.20%,2010,,,http://www.amazon.com/gp/product/B0041FZR80/?tag=titb-20
The Judge,47,48,47.5,73,71,2,72,-24.5,drama,drama,original screenplay ,13.1,"13,116,226",47.1,"47,119,388",36.6,"36,600,000","83,719,388",84,43.72%,50,167%,26.23%,2014,,,http://www.amazon.com/gp/product/B00OCDSPK8/?tag=titb-20
Just Go With It,19,33,26.0,63,64,-1,63.5,-37.5,comedy,"comedy, romance",adaptation,30.5,"30,510,000",103.0,"103,030,000",111.9,"111,920,000","133,540,103",134,83.81%,80,167%,38.14%,2011,,,http://www.amazon.com/gp/product/B0051BX8KM/?tag=titb-20
The Adjustment Bureau,72,60,66.0,67,66,1,66.5,-0.5,fantasy,"fantasy, romance, thriller",adaptation,21.2,"21,160,000",62.5,"62,500,000",65.4,"65,370,000","83,660,063",84,78.14%,50,167%,42.15%,2011,,,http://www.amazon.com/gp/product/B0055OK2T0/?tag=titb-20
Brothers ,61,58,59.5,62,73,-11,67.5,-8,thriller,"thriller, war",remake / reboot,9.5,"9,500,000",28.5,"28,500,000",14.8,"14,770,000","43,270,000",43,34.13%,26,166%,36.54%,2009,,,http://www.amazon.com/gp/product/B0039NJTLQ/?tag=titb-20
The Good Dinosaur,77,66,71.5,66,70,-4,68,3.5,Adventure,Adventure,original screenplay,39.2,"39,155,217",123.1,"123,087,120",209.1,"209,120,551","332,207,671",332,62.95%,200,166%,19.58%,2015,,,https://www.amazon.com/Good-Dinosaur-Theatrical-Peter-Sohn/dp/B018YO6WAA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218093&sr=1-1&keywords=The+Good+Dinosaur
Mission Impossible 4,93,73,83.0,86,76,10,81,2.0,action,"action, thriller",sequel,29.6,"29,550,000",209.4,"209,390,000",485.3,"485,320,000","238,940,209",239,203.11%,145,165%,20.38%,2011,,,http://www.amazon.com/gp/product/B007UXSPK2/?tag=titb-20
Thor,77,57,67.0,80,69,11,74.5,-7.5,action,"action, adventure, fantasy",adaptation,65.7,"65,720,000",181.0,"181,030,000",268.3,"268,290,000","246,750,181",247,108.73%,150,165%,43.81%,2011,,,http://www.amazon.com/gp/product/B005H9B2CE/?tag=titb-20
Fist Fight,26,37,32,41,50,-9,45.5,-14,comedy,comedy,original screenplay,12.2,"12,201,873",32.2,"32,187,017",8.9,"8,900,000","41,087,017",41,21.66%,25,164%,48.81%,2017,,,https://www.amazon.co.uk/Fist-Fight-Ice-Cube/dp/B06XDR22Z7/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978913&sr=1-1&keywords=Fist+Fight
The Sisterhood of the Traveling Pants 2,65,63,64,67,67,0,67,-3,comedy,"comedy, romance",sequel,10.7,"10,680,000",44.1,"44,090,000",0.3,"260,000","44,350,000",44,0.59%,27,164%,39.56%,2008,,,http://www.amazon.com/gp/product/B001LGXDMO/?tag=titb-20
Ford v. Ferrari,91,81,86,98,75,23,87,-1,Drama,Drama,original screenplay,31.5,"31,474,958",83.8,"83,797,945",76.5,"76,500,000","160,297,945",160,47.72%,98,164%,32.25%,2019,,,-
Poms,34,36,35,75,57,18,66,-31,Comedy,Comedy,original screenplay,5.4,"5,361,937",13.6,"13,631,124",2.8,"2,787,094","16,418,218",16,16.98%,10,164%,53.62%,2019,,,-
The Edge of Seventeen,94,77,85.5,85,73,12,79,6.5,Comedy,Comedy,original screenplay,4.8,"4,754,215",14.3,"14,288,406",0.5,"472,777","14,761,183",15,3.20%,9,164%,52.82%,2016,,,https://www.amazon.com/Edge-Seventeen-Hailee-Steinfeld/dp/B01N3P70TO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483640856&sr=1-1&keywords=The+Edge+of+Seventeen
Dark Shadows,38,55,46.5,46,56,-10,51,-4.5,comedy,"comedy, horror",adaptation,29.7,"29,685,274",79.7,"79,727,149",165.8,"165,800,000","245,527,149",246,67.53%,150,164%,19.79%,2012,,,http://www.amazon.com/gp/product/B009KHBDUU/?tag=titb-20
My Week with Marilyn,83,65,74,84,73,11,78.5,-4.5,biography,biography  ,based on a true story,1.8,"1,750,000",14.6,"14,600,000",20.5,"20,460,000","16,350,015",16,125.14%,10,164%,17.50%,2011,,,http://www.amazon.com/gp/product/B007JRUA7K/?tag=titb-20
Contagion,84,70,77.0,63,64,-1,63.5,13.5,sci-fi,"sci-fi, thriller",original screenplay,22.4,"22,400,000",75.7,"75,660,000",59.8,"59,800,000","98,060,076",98,60.98%,60,163%,37.33%,2011,,,http://www.amazon.com/gp/product/B006SV2LWA/?tag=titb-20
A Perfect Getaway ,61,63,62,50,63,-13,56.5,5.5,adventure,"adventure, mystery, thriller",original screenplay,5.9,"5,900,000",15.5,"15,500,000",7.3,"7,330,000","22,830,000",23,32.11%,14,163%,42.14%,2009,,,http://www.amazon.com/gp/product/B002VE5472/?tag=titb-20
The Nut Job 2: Nutty by Nature,9,36,23,44,39,5,41.5,-19,animation,animation,sequel,8.3,"8,342,311",28.4,"28,370,522",36.8,"36,823,191","65,193,713",65,56.48%,40,163%,20.86%,2017,,,https://www.amazon.co.uk/Nut-Job-Nutty-Nature/dp/B074PC7YTL/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978546&sr=1-1&keywords=The+Nut+Job+23A+Nutty+by+Nature
The Divergent Series: Allegiant,12,33,22.5,42,39,3,40.5,-18.0,Action,Action,adaptation,29.0,"29,027,348",66.2,"66,184,051",113.1,"113,062,817","179,246,868",179,63.08%,110,163%,26.39%,2016,,,https://www.amazon.com/Divergent-Allegiant-Shailene-Woodley/dp/B01D0SVUFC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219181&sr=1-1&keywords=The+Divergent+Series3A+Allegiant
Logan Lucky,93,78,86,76,68,8,72,14,action,"action, comedy",original screenplay,7.6,"7,600,036",27.8,"27,780,977",19.5,"19,450,002","47,230,979",47,41.18%,29,163%,26.21%,2017,,,https://www.amazon.co.uk/Logan-Lucky-Channing-Tatum/dp/B074XKRS1B/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981296&sr=1-1&keywords=Logan+Lucky
