title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
Thor: Ragnarok,854,474%,4.7,180,315,36.9%,539,63.1%,"853,983,879",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=283,https://en.wikipedia.org/wiki/Thor:_Ragnarok,,not horror
Thor: The Dark World,645,379%,3.8,170,206,32.0%,438,68.0%,"644,783,140",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=355,https://en.wikipedia.org/wiki/Thor:_The_Dark_World,,not horror
Titanic,2202,1101%,11.0,200,659,30.0%,"1,542",70.0%,"2,201,647,264",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=202,"https://www.cbc.ca/radio/q/blog/titanic-anniversary-20-fascinating-facts-about-the-epic-blockbuster-that-almost-sank-1.4381455#:~:text=With%20a%20budget%20of%20%24200,Avatar%20surpassed%20it%20in%202010.",,not horror
Tomorrow Never Dies,333,303%,3.0,110,125,37.6%,208,62.4%,"333,011,068",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=653,https://en.wikipedia.org/wiki/Tomorrow_Never_Dies,,not horror
Top Gun,357,2382%,23.8,15,180,50.4%,177,49.6%,"357,288,178",1986,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=603,https://www.google.com/search?q=top+gun+budget&oq=top+gun+budget&aqs=chrome..69i57j0i512l5j0i22i30l4.2621j0j9&sourceid=chrome&ie=UTF-8,,not horror
Top Gun: Maverick,1487,875%,8.7,170,717,48.2%,770,51.8%,"1,486,657,763",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=210,https://www.imdb.com/title/tt1745960/,,not horror
Toy Story,394,1315%,13.1,30,223,56.6%,171,43.4%,"394,436,586",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=537,https://en.wikipedia.org/wiki/Toy_Story,,not horror
Toy Story 2,497,553%,5.5,90,246,49.4%,252,50.6%,"497,375,381",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=429,https://en.wikipedia.org/wiki/Toy_Story_2,,not horror
Toy Story 3,1067,533%,5.3,200,415,38.9%,652,61.1%,"1,066,970,811",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=236,https://en.wikipedia.org/wiki/Toy_Story_3,,not horror
Toy Story 4,1073,537%,5.4,200,434,40.4%,639,59.6%,"1,073,394,593",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=235,https://en.wikipedia.org/wiki/Toy_Story_4,,not horror
Transformers,710,355%,3.5,200,319,45.0%,390,55.0%,"709,709,780",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=331,https://en.wikipedia.org/wiki/Transformers_(film),,not horror
Transformers: Age of Extinction,1104,526%,5.3,210,245,22.2%,859,77.8%,"1,104,054,072",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=232,"https://en.wikipedia.org/wiki/Transformers:_Age_of_Extinction#:~:text=Box%20office-,Worldwide,a%20budget%20of%20%24210%20million.",,not horror
Transformers: Dark of the Moon,1124,642%,6.4,175,352,31.4%,771,68.6%,"1,123,794,079",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=228,https://en.wikipedia.org/wiki/Captain_Marvel_(film),,not horror
Transformers: Revenge of the Fallen,836,418%,4.2,200,402,48.1%,434,51.9%,"836,303,693",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=286,https://en.wikipedia.org/wiki/Transformers:_Revenge_of_the_Fallen,,not horror
Transformers: The Last Knight,605,279%,2.8,217,130,21.5%,475,78.5%,"605,425,157",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=373,https://www.imdb.com/title/tt3371366/,,not horror
Trolls,347,278%,2.8,125,154,44.4%,193,55.6%,"347,182,886",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=631,"https://en.wikipedia.org/wiki/Trolls_(film)#:~:text=Trolls%20grossed%20%24153.7%20million%20in,a%20budget%20of%20%24125%20million.",,not horror
Tron: Legacy,400,235%,2.4,170,172,43.0%,228,57.0%,"400,063,852",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=533,"https://en.wikipedia.org/wiki/Tron:_Legacy#:~:text=The%20film%20grossed%20%24400%20million,described%20as%20a%20cult%20film.",,not horror
Troy,497,269%,2.7,185,133,26.8%,364,73.2%,"497,409,852",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=428,https://en.wikipedia.org/wiki/Troy_(film),,not horror
True Lies,379,316%,3.2,120,146,38.6%,233,61.4%,"378,882,411",1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=559,"https://en.wikipedia.org/wiki/True_Lies#:~:text=Costing%20%24100%E2%80%93120%20million%20to,over%20a%20seven%2Dmonth%20schedule.",,not horror
Truth or Dare,95,2710%,27.1,3.5,40.7,42.9%,54.1,57.1%,"94,835,301",2018,2010's,,,,horror
Twilight,408,1104%,11.0,37,194,47.5%,214,52.5%,"408,430,415",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=518,https://independent-magazine.org/2021/12/06/from-indie-to-blockbuster-the-evolution-of-the-twilight-saga/,,not horror
Twilight: Eclipse        ,301,442%,4.4,68.0,300.5,100.0%,398.0,132.4%,"698,490,000",2010,2010's,,,,not horror
Twilight: New Moon,711,1422%,14.2,50,298,41.9%,413,58.1%,"711,025,481",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=329,https://en.wikipedia.org/wiki/The_Twilight_Saga:_New_Moon,,not horror
Twister,495,538%,5.4,92,242,48.9%,253,51.1%,"494,580,615",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=431,https://en.wikipedia.org/wiki/Twister_(1996_film),,not horror
Uncharted,402,335%,3.3,120,149,37.0%,253,63.0%,"401,748,820",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=532,https://en.wikipedia.org/wiki/Uncharted_(film),,not horror
Under the Same Moon,23,1371%,13.7,1.7,12.6,54.0%,10.7,46.0%,"23,310,000",2008,2000's,,,,not horror
Up,735,420%,4.2,175,293,39.9%,442,60.1%,"735,099,102",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=323,https://www.the-numbers.com/movie/Up#tab=summary,,not horror
Us,216.6,1083%,10.8,20.0,152.4,70.4%,64.2,29.6%,"216,581,515",2019,2010's,,,,horror
Venom,856,738%,7.4,116,214,24.9%,643,75.1%,"856,085,151",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=282,https://en.wikipedia.org/wiki/Venom_(2018_film),,not horror
Venom: Let There Be Carnage,507,461%,4.6,110,214,42.1%,293,57.9%,"506,863,592",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=424,https://www.google.com/search?q=venom+let+there+be+carnage+budget&ei=a_yaY4qUPLWFhbIP7ISnkAI&ved=0ahUKEwjK9Zqxuvv7AhW1QkEAHWzCCSIQ4dUDCA8&uact=5&oq=venom+let+there+be+carnage+budget&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIKCAAQgAQQRhD7ATIGCAAQFhAeMgUIABCGAzIFCAAQhgMyBQgAEIYDOgoIABBHENYEELADOgcIABCwAxBDOg0IABDkAhDWBBCwAxgBOg8ILhDUAhDIAxCwAxBDGAI6BwguEEMQ6gQ6BAgAEEM6CgguEMcBENEDEEM6BAguEEM6BwguENQCEEM6FAguEIAEELEDEIMBEMcBENEDENQCOgsIABCABBCxAxCDAToSCC4QQxDqBBDcBBDeBBDfBBgDOgoIABCxAxCDARBDOggILhDUAhCRAjoICC4QgAQQ1AI6CAguELEDEIMBOgoILhCxAxBDEOoEOgsILhCABBCxAxCDAToVCC4QsQMQQxDqBBDcBBDeBBDfBBgDOgUILhCABDoOCC4QrwEQxwEQsQMQgAQ6CAguELEDEIAEOg4ILhCABBCxAxDHARDRAzoICC4QgAQQsQM6EAguENQCELEDEIAEEAoQ6gQ6CgguELEDEIAEEAo6CwguEIAEEMcBEK8BOgoILhCABBCxAxAKOgoIABCABBCxAxAKOgUIABCABDoNCC4Q1AIQsQMQgAQQCjobCC4Q1AIQsQMQgAQQChDqBBDcBBDeBBDgBBgDOgsILhCxAxCRAhDqBDoHCC4QsQMQQzoWCC4QsQMQkQIQ6gQQ3AQQ3gQQ4AQYAzoKCC4QgAQQChDqBDoHCAAQgAQQCjoVCC4QgAQQChDqBBDcBBDeBBDgBBgDOgwILhDqAhC0AhBDGAQ6DAgAEOoCELQCEEMYBDoPCC4Q1AIQ6gIQtAIQQxgEOg0IABCPARDqAhC0AhgFOhAILhCPARDUAhDqAhC0AhgFOgsILhDUAhCRAhDqBDoFCC4QkQI6DgguEMcBELEDENEDEIAEOhYILhDUAhCRAhDqBBDcBBDeBBDgBBgDOgsIABCxAxCDARCRAjoFCAAQkQI6EgguEEMQ6gQQ3AQQ3gQQ4AQYAzoOCC4QsQMQ1AIQkQIQ6gQ6CAguELEDEJECOhkILhCxAxDUAhCRAhDqBBDcBBDeBBDgBBgDOg4ILhDUAhCxAxCRAhDqBDoLCC4QsQMQ1AIQkQI6GQguENQCELEDEJECEOoEENwEEN4EEOAEGAM6CwguENQCELEDEJECOggIABCABBCxAzoICC4QgAQQ6gQ6EwguEIAEEOoEENwEEN4EEOAEGAM6CAgAEBYQHhAKSgQIQRgASgQIRhgBUKAHWOpBYO9DaApwAXgAgAFoiAHHFZIBBDM2LjSYAQCgAQGwARTIARLAAQHaAQYIARABGAnaAQYIAhABGAjaAQYIAxABGBTaAQQIBBgH2gEGCAUQARgK&sclient=gws-wiz-serp,,not horror
Waitress,22,1109%,11.1,2.0,19.1,86.0%,3.1,14.0%,"22,179,483",2007,2000's,,,,not horror
WALL·E,521,290%,2.9,180,224,42.9%,298,57.1%,"521,311,890",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=419,"https://en.wikipedia.org/wiki/WALL-E#:~:text=The%20film%20cost%20%24180%20million,States%20on%20June%2027%2C%202008.",,not horror
Wanted,342,457%,4.6,75,135,39.3%,208,60.7%,"342,463,063",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=637,https://en.wikipedia.org/wiki/Wanted_(2008_film),,not horror
War for the Planet of the Apes,491,323%,3.2,152,147,29.9%,344,70.1%,"490,719,763",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=435,"https://en.wikipedia.org/wiki/War_for_the_Planet_of_the_Apes#:~:text=War%20for%20the%20Planet%20of%20the%20Apes%20grossed%20%24146.9%20million,budget%20of%20%24150%E2%80%93152%20million.",,not horror
War of the Worlds,604,457%,4.6,132,234,38.8%,370,61.2%,"603,873,119",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=375,https://en.wikipedia.org/wiki/War_of_the_Worlds_(2005_film),,not horror
War Room,67,2241%,22.4,3.0,67.2,100.0%,0.0,0.0%,"67,217,187",2015,2010's,,,,not horror
Warcraft,439,274%,2.7,160,47,10.8%,392,89.2%,"439,048,914",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=485,"https://en.wikipedia.org/wiki/Warcraft_(film)#:~:text=Given%20its%20%24160%20million%20production,in%20order%20to%20break%2Deven.",,not horror
What Women Want,374,534%,5.3,70,183,48.9%,191,51.1%,"374,111,707",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=566,https://en.wikipedia.org/wiki/What_Women_Want,,not horror
When in Rome,33,2514%,25.1,1.3,32.7,100.0%,10.4,31.7%,"43,040,000",2010,2010's,,,,not horror
Who Framed Roger Rabbit,330,660%,6.6,50,156,47.4%,173,52.6%,"329,803,958",1988,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=659,https://en.wikipedia.org/wiki/Who_Framed_Roger_Rabbit,,not horror
Wonder Woman,823,411%,4.1,200,413,50.2%,410,49.8%,"822,854,286",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=288,https://www.google.com/search?q=wonder+woman+budget&oq=wonder+woman+budget&aqs=chrome..69i57j0i512j0i22i30l8.2184j0j4&sourceid=chrome&ie=UTF-8,,not horror
World War Z,540,284%,2.8,190,203,37.5%,338,62.5%,"540,455,876",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=405,"https://en.wikipedia.org/wiki/World_War_Z_(film)#:~:text=Regardless%2C%20the%20film%20was%20a,zombie%20film%20of%20all%20time.",,horror
Wreck-It Ralph,471,286%,2.9,165,189,40.2%,282,59.8%,"471,222,889",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=453,https://en.wikipedia.org/wiki/Wreck-It_Ralph,,not horror
X-Men Origins: Wolverine,373,249%,2.5,150,180,48.2%,193,51.8%,"373,062,864",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=570,https://en.wikipedia.org/wiki/X-Men_Origins:_Wolverine,,not horror
X-Men: Apocalypse,544,306%,3.1,178,155,28.6%,388,71.4%,"543,934,105",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=400,"https://en.wikipedia.org/wiki/X-Men:_Apocalypse#:~:text=X%2DMen%3A%20Apocalypse%20grossed%20%24155.4,a%20budget%20of%20%24178%20million.",,not horror
X-Men: Days of Future Past,746,364%,3.6,205,234,31.4%,512,68.6%,"746,045,700",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=319,https://en.wikipedia.org/wiki/X-Men:_Days_of_Future_Past,,not horror
X-Men: First Class,353,220%,2.2,160,146,41.5%,206,58.5%,"352,616,690",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=614,https://www.imdb.com/title/tt1270798/,,not horror
X-Men: The Last Stand,460,219%,2.2,210,234,50.9%,226,49.1%,"460,435,291",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=465,https://en.wikipedia.org/wiki/X-Men:_The_Last_Stand,,not horror
X2: X-Men United,408,371%,3.7,110,215,52.7%,193,47.3%,"407,711,549",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=520,https://www.google.com/search?q=x-men+united+budget&oq=x-men+united+budget&aqs=chrome..69i57j0i22i30i625j0i390l5.4951j0j4&sourceid=chrome&ie=UTF-8,,not horror
xXx: Return of Xander Cage,346,407%,4.1,85,45,13.0%,301,87.0%,"346,118,277",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=632,"https://en.wikipedia.org/wiki/XXX:_Return_of_Xander_Cage#:~:text=Reception-,Box%20office,production%20budget%20of%20%2485%20million.",,not horror
Zootopia,1043,695%,7.0,150,341,32.7%,701,67.3%,"1,042,533,689",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=242,"https://en.wikipedia.org/wiki/Zootopia#:~:text=Zootopia%20grossed%20%24341.3%20million%20in,a%20budget%20of%20%24150%20million.",,not horror
SuperMario Bros,1264,1264%,12.6,100,551,43.6%,713,56.4%,"1,264,350,750",2023,2020's,https://www.the-numbers.com/movie/Super-Mario-Bros-Movie-The-(2022)#tab=summary,https://en.wikipedia.org/wiki/The_Super_Mario_Bros._Movie,,not horror
Guardians of the Galaxy 3,667,267%,2.7,250,274,41.1%,392,58.8%,"666,652,514",2023,2020's,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-3-(2023)#tab=summary,,,not horror
Ant-Man: Quantumania,463,232%,2.3,200,214,46.2%,249,53.8%,"463,525,483",2023,2020's,https://www.the-numbers.com/movie/Ant-Man-and-the-Wasp-Quantumania-(2023)#tab=summary,,,not horror
John Wick 4,427,427%,4.3,100,185,43.3%,241,56.4%,"427,330,689",2023,2020's,https://www.the-numbers.com/movie/John-Wick-Chapter-4-(2023)#tab=summary,,,not horror
