title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
Minions,1159,1567%,15.7,74,336,29.0%,823,71.0%,"1,159,444,662",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=222,https://en.wikipedia.org/wiki/Minions_(film),,not horror
Minions: The Rise of Gru,939,1174%,11.7,80,370,39.3%,570,60.7%,"939,220,210",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=262,https://en.wikipedia.org/wiki/Minions:_The_Rise_of_Gru,,not horror
Minority Report,358,351%,3.5,102,132,36.8%,226,63.2%,"358,372,926",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=601,"https://en.wikipedia.org/wiki/Minority_Report_(film)#:~:text=Upon%20its%20release%2C%20the%20film,Initial%20reviews%20were%20generally%20positive.",,not horror
Mission: Impossible,458,572%,5.7,80,181,39.5%,277,60.5%,"457,696,391",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=467,https://en.wikipedia.org/wiki/Mission:_Impossible_(film_series),,not horror
Mission: Impossible - Fallout,792,445%,4.4,178,220,27.8%,571,72.2%,"791,657,398",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=298,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Fallout,,not horror
Mission: Impossible - Ghost Protocol,695,479%,4.8,145,209,30.1%,485,69.9%,"694,713,380",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=336,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Ghost_Protocol,,not horror
Mission: Impossible - Rogue Nation,683,455%,4.6,150,195,28.6%,488,71.4%,"682,716,636",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=339,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Rogue_Nation,,not horror
Mission: Impossible II,546,437%,4.4,125,215,39.4%,331,60.6%,"546,388,108",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=398,https://en.wikipedia.org/wiki/Mission:_Impossible_2,,not horror
Mission: Impossible III,398,266%,2.7,150,134,33.6%,264,66.4%,"398,479,497",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=534,https://en.wikipedia.org/wiki/Mission:_Impossible_III,,not horror
Moana,660,377%,3.8,175,249,37.7%,412,62.3%,"660,349,731",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=347,https://en.wikipedia.org/wiki/Moana_(2016_film),,not horror
Mockingjay - Part 1,755,604%,6.0,125,337,44.6%,418,55.4%,"755,356,711",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=315,"https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_1#:~:text=The%20Hunger%20Games%3A%20Mockingjay%20%E2%80%93%20Part%201%20grossed%20%24337.1%20million%20in,including%20promotion%20and%20advertising%20costs).",,not horror
Mockingjay - Part 2,653,408%,4.1,160,282,43.1%,372,56.9%,"653,428,261",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=354,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_2,,not horror
Monsters University,744,372%,3.7,200,268,36.1%,475,63.9%,"743,559,645",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=321,https://en.wikipedia.org/wiki/Monsters_University,,not horror
Monsters vs. Aliens,382,224%,2.2,170,198,52.0%,183,48.0%,"381,509,870",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=556,https://www.reuters.com/article/idINIndia-38768520090330,,not horror
"Monsters, Inc.",580,504%,5.0,115,291,50.1%,289,49.9%,"579,707,738",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=384,"https://en.wikipedia.org/wiki/Monsters,_Inc.",,not horror
Mr. & Mrs. Smith,487,443%,4.4,110,186,38.2%,301,61.8%,"487,287,646",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=437,https://en.wikipedia.org/wiki/Mr._%26_Mrs._Smith_(2005_film),,not horror
Mrs. Doubtfire,441,1765%,17.7,25,219,49.7%,222,50.3%,"441,286,195",1993,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=483,"https://en.wikipedia.org/wiki/Mrs._Doubtfire#:~:text=Robin%20Williams%20was%20awarded%20the,highest%2Dgrossing%20film%20of%201993.",,not horror
Murder on the Orient Express,353,641%,6.4,55,103,29.2%,250,70.8%,"352,794,081",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=613,"https://en.wikipedia.org/wiki/Murder_on_the_Orient_Express_(2017_film)#:~:text=Reception-,Box%20office,production%20budget%20of%20%2455%20million.",,not horror
My Big Fat Greek Wedding,369,7375%,73.7,5,241,65.5%,127,34.5%,"368,744,044",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=581,"https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding#:~:text=Despite%20never%20hitting%20the%20number,films%20of%20the%2021st%20century.",,not horror
National Treasure,348,348%,3.5,100,173,49.8%,175,50.2%,"347,512,318",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=629,https://en.wikipedia.org/wiki/National_Treasure_(film),,not horror
National Treasure: Book of Secrets,459,353%,3.5,130,220,47.9%,239,52.1%,"459,242,249",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=466,"https://en.wikipedia.org/wiki/National_Treasure:_Book_of_Secrets#:~:text=The%20film%20grossed%20%24220%20million,grossing%20film%20in%20the%20series.",,not horror
Neighbors,268,1490%,14.9,18.0,150.2,56.0%,118.0,44.0%,"268,157,400",2014,2010's,,,,not horror
Night at the Museum,574,522%,5.2,110,251,43.7%,324,56.3%,"574,481,229",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=386,https://www.imdb.com/title/tt0477347/,,not horror
Night at the Museum: Battle of the Smithsonian,413,275%,2.8,150,177,42.9%,236,57.1%,"413,106,170",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=511,"https://en.wikipedia.org/wiki/Night_at_the_Museum:_Battle_of_the_Smithsonian#:~:text=The%20film%20was%20released%20theatrically,on%20a%20%24150%20million%20budget.",,not horror
Night at the Museum: Secret of the Tomb,363,286%,2.9,127,114,31.3%,249,68.7%,"363,204,635",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=590,"https://en.wikipedia.org/wiki/Night_at_the_Museum:_Secret_of_the_Tomb#:~:text=Night%20at%20the%20Museum%3A%20Secret%20of%20the%20Tomb%20grossed%20%24113.7,a%20budget%20of%20%24127%20million.",,not horror
No Escape,54,12074%,120.7,0.450,27.2,50.1%,27.1,49.9%,"54,333,371",2015,2010's,,,,not horror
No Time to Die,774,310%,3.1,250,161,20.8%,613,79.2%,"774,153,007",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=306,https://variety.com/2021/film/news/no-time-to-die-highest-grossing-movie-losing-money-blockbusters-1235111919/,,not horror
Noah,359,287%,2.9,125,101,28.2%,258,71.8%,"359,200,044",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=597,"https://www.csmonitor.com/USA/Society/2014/0331/Noah-not-all-believers-hate-big-budget-biblical-blockbuster#:~:text=%E2%80%9CNoah%2C%E2%80%9D%20with%20its%20%24125,of%20the%20ancient%20biblical%20tale.",,not horror
Notting Hill,364,866%,8.7,42,116,31.9%,248,68.1%,"363,889,678",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=588,https://en.wikipedia.org/wiki/Notting_Hill_(film),,not horror
Now You See Me,352,469%,4.7,75,118,33.5%,234,66.5%,"351,723,989",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=618,https://en.wikipedia.org/wiki/Now_You_See_Me_(film),,not horror
Now You See Me 2,335,279%,2.8,120,65,19.4%,270,80.6%,"334,897,606",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=649,https://en.wikipedia.org/wiki/Now_You_See_Me_2,,not horror
Ocean's Eleven,451,530%,5.3,85,183,40.7%,267,59.3%,"450,717,150",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=472,https://en.wikipedia.org/wiki/Ocean%27s_Eleven,,not horror
Ocean's Thirteen,311,366%,3.7,85,117,37.6%,194,62.4%,"311,312,624",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=696,https://www.imdb.com/title/tt0496806/,,not horror
Ocean's Twelve,363,330%,3.3,110,126,34.6%,237,65.4%,"362,744,280",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=591,https://en.wikipedia.org/wiki/Ocean%27s_Twelve,,not horror
Once Upon a Time in Hollywood,378,393%,3.9,96,143,37.7%,235,62.3%,"377,617,598",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=562,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood,,not horror
Ouija,103,2051%,20.5,5.0,50.9,49.6%,51.7,50.4%,"102,529,779",2014,2010's,,,,horror
Over the Hedge,340,425%,4.2,80,155,45.6%,185,54.4%,"339,795,890",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=641,"https://en.wikipedia.org/wiki/Over_the_Hedge_(film)#:~:text=Over%20the%20Hedge%20was%20released,on%20an%20%2480%20million%20budget.",,not horror
Oz the Great and Powerful,493,247%,2.5,200,235,47.6%,258,52.4%,"493,311,825",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=432,https://en.wikipedia.org/wiki/Oz_the_Great_and_Powerful,,not horror
Pacific Rim,411,206%,2.1,200,102,24.8%,309,75.2%,"411,002,906",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=514,https://en.wikipedia.org/wiki/Pacific_Rim_(film),,not horror
Paranormal Activity ,194,1293333%,12933.3,0.015,107.9,55.6%,85.4,44.0%,"193,360,000",2009,2000's,,,,horror
Paranormal Activity 2,177,5900%,59.0,3.0,84.8,47.9%,92.8,52.4%,"177,510,000",2010,2010's,,,,horror
